CÓDIGO,CLIENTE,REDE,SUBREDE,LOGRADOURO,NUMERO,BAIRRO,CIDADE,ENDEREÇO,A00_LAT,A00_LONG
11,MERCADINHO NOVA OPCAO,,,RUA NOSSA SENHORA DE FATIMA,585,ACAMPAMENTO,PENTECOSTE,"RUA NOSSA SENHORA DE FATIMA, 585, ACAMPAMENTO, PENTECOSTE",-3.7966159,-39.2681354
33,LIRA,,,RUA 25 DE JANEIRO,178,CENTRO,APUIARES,"RUA 25 DE JANEIRO, 178, CENTRO, APUIARES",-3.9476121,-39.4305695
36,CHICO CARDOSO,REDE INTEGRADA,,RUA JOSE SALU,225,CENTRO,PENTECOSTE,"RUA JOSE SALU, 225, CENTRO, PENTECOSTE",-3.7926565,-39.2723376
41,PADARIA NOSSA SRA DAS GRACAS,,,RUA 25 DE JANEIRO,119,CENTRO,APUIARES,"RUA 25 DE JANEIRO, 119, CENTRO, APUIARES",-3.948318,-39.4309554
61,MERCI DO PAULAO,,,RUA PORFIRIO DE ARAUJO,SN,CROATA,SAO GONCALO DO AMARANTE,"RUA PORFIRIO DE ARAUJO, SN, CROATA, SAO GONCALO DO AMARANTE",-3.6743502,-39.1158104
66,COMERCIAL CHICO SIDOR,,,AVENIDA GABRIEL FILHO,680,CENTRO,TEJUCUOCA,"AVENIDA GABRIEL FILHO, 680, CENTRO, TEJUCUOCA",-3.989731,-39.579062
67,MERCANTIL O PIONEIRO,,,RUA MAMEDE TEIXEIRA,547,CENTRO,TEJUCUOCA,"RUA MAMEDE TEIXEIRA, 547, CENTRO, TEJUCUOCA",-3.9898233,-39.5787051
70,PAIFICADORA PAO & CIA,,,RUA ADELINO MOREIRA DA ROCHA,811,CENTRO,PARACURU,"RUA ADELINO MOREIRA DA ROCHA, 811, CENTRO, PARACURU",-3.4149346,-39.0232462
79,MECADINHO RAY,,,RUA MAJOR JOAO MARTINS,1,CENTRO,SAO LUIS DO CURU,"RUA MAJOR JOAO MARTINS, 1, CENTRO, SAO LUIS DO CURU",-3.6742868,-39.2404325
89,MERCADINHO KIBOM,,,RODOVIA CE 341,99,MALEITAS,PARACURU,"RODOVIA CE 341, 99, MALEITAS, PARACURU",-3.4212678,-39.0344657
100,MERCADINHO FAMILIA,,,RUA SAO JOAO EVANGELISTA,89,CAMPO DE AVIACAO,PARACURU,"RUA SAO JOAO EVANGELISTA, 89, CAMPO DE AVIACAO, PARACURU",-3.4198614,-39.0276176
151,COMPREMAX - MISTER HULL,REDE PARCERIA,COMPRE MAX,AVENIDA MISTER HULL,5380,ANTONIO BEZERRA,FORTALEZA,"AVENIDA MISTER HULL, 5380, ANTONIO BEZERRA, FORTALEZA",-3.7392121,-38.5924565
