M06_DTSAIDA,M06_VEIC_PLACA,M06_ID_CLIENTE,A00_FANTASIA,Soma de M06_TOTPRO,PESO
2025-04-16 00:00:00,PNP4654,10934,SUPERMERCADO ERIVALDO,"R$ 242,40","8,4"
2025-04-16 00:00:00,PNP4814,455,SUPERMERCADO BISTECAO,"R$ 1210,00","71,0"
2025-04-16 00:00:00,PNP4654,11069,SUPER PRECO BOM - ARATURI,"R$ 160,38","4,9"
2025-04-16 00:00:00,PNP4814,11455,SUPER GENTILANDIA - BENFICA,"R$ 900,00","48,0"
2025-04-16 00:00:00,OSH4598,11804,SEMPRE AKI - LJ03,"R$ 1194,40","39,2"
2025-04-16 00:00:00,OSH4598,11803,SEMPRE AKI - LJ02,"R$ 2574,08","143,7"
2025-04-16 00:00:00,OSH4598,11802,SEMPRE AKI - LJ01,"R$ 1237,44","89,5"
2025-04-16 00:00:00,PNP4654,9295,PARA TY - ICARAI,"R$ 498,91","32,9"
2025-04-16 00:00:00,PNP4654,11242,MERCADINHO JR XIMENES,"R$ 137,70","6,8"
2025-04-16 00:00:00,PNP4654,4995,MERCADINHO JM COMERCIAL,"R$ 179,90","9,9"
2025-04-16 00:00:00,PNP4654,9620,MERC RIBAMAR,"R$ 488,20","39,3"
2025-04-16 00:00:00,PNQ3270,251,MERC PINHEIRO E CARNEIRO,"R$ 704,90","61,5"
2025-04-16 00:00:00,PNP4654,9300,MARCOS ANTONIO SOUSA DA SILVA,"R$ 171,60","13,2"
2025-04-16 00:00:00,PNP4814,3968,LAREDO - CENTRO,"R$ 823,20","33,6"
2025-04-16 00:00:00,PNP4814,10955,JUNIOR MERCANTIL,"R$ 202,50","10,0"
2025-04-16 00:00:00,PNQ3270,11032,COOKIE,"R$ 660,00","15,0"
2025-04-16 00:00:00,PNP4814,11595,CENTERBOX - VITAL BRASIL,"R$ 863,28","74,8"
2025-04-16 00:00:00,OSH4598,11898,CENTERBOX - VALPARAISO,"R$ 3295,58","151,8"
2025-04-16 00:00:00,RIG8G48,11895,CENTERBOX - PEDRAS,"R$ 3755,31","223,1"
2025-04-16 00:00:00,RIG8G48,11946,CENTERBOX - PARQUE SANTA MARIA,"R$ 1253,56","75,7"
2025-04-16 00:00:00,RIG8G48,11896,CENTERBOX - PARQUE DOM PEDRO,"R$ 915,11","34,2"
2025-04-16 00:00:00,OSH4598,11899,CENTERBOX - LAGOA REDONDA,"R$ 1588,94","92,0"
2025-04-16 00:00:00,OSH4598,11851,CENTERBOX - CURIO,"R$ 1537,02","98,0"
2025-04-16 00:00:00,PNQ3270,972,CENTERBOX - CONCEITO,"R$ 1481,95","57,2"
2025-04-16 00:00:00,PNP4654,4293,CENTERBOX - CAUCAIA,"R$ 1929,40","120,3"
2025-04-16 00:00:00,PNP4654,9586,CENTERBOX - ATACAREJO,"R$ 1340,21","118,5"
2025-04-16 00:00:00,PNQ3270,11047,CASA BEA EIRELI,"R$ 543,35","11,5"
2025-04-16 00:00:00,PNP4814,658,BRASILEIRO - RODOLFO TEOFILO,"R$ 2165,68","210,0"
